Episode,Reward
1,44.3
2,44.3
3,106.55
4,101.9
5,76.0
6,105.05
7,76.3
8,60.75
9,106.45
10,112.5
11,76.8
12,101.59999999999998
13,92.4
14,116.75
15,92.3
16,81.1
17,41.7
18,89.0
19,78.3
20,58.400000000000006
21,41.5
22,56.9
23,108.35
24,105.0
25,74.39999999999999
26,35.5
27,68.0
28,50.8
29,82.69999999999999
30,99.49999999999999
31,113.3
32,63.8
33,92.3
34,79.5
35,101.5
36,74.3
37,52.599999999999994
38,76.55
39,125.1
40,67.3
41,80.39999999999999
42,68.75
43,69.1
44,95.05
45,105.79999999999998
46,59.6
47,52.89999999999999
48,79.5
49,39.5
50,73.1
51,65.19999999999999
52,70.3
53,109.69999999999999
54,38.3
55,76.39999999999999
56,71.85
57,69.5
58,104.89999999999998
59,97.5
60,107.80000000000001
61,70.15
62,83.5
63,111.2
64,56.69999999999999
65,56.8
66,89.19999999999999
67,116.6
68,60.19999999999999
69,76.69999999999999
70,76.9
71,71.85
72,85.1
73,103.5
74,64.0
75,83.9
76,45.5
77,86.75
78,99.49999999999999
79,83.1
80,58.89999999999999
81,83.2
82,76.5
83,63.04999999999999
84,111.5
85,74.0
86,95.80000000000001
87,57.7
88,53.849999999999994
89,78.3
90,59.099999999999994
91,48.4
92,90.7
93,87.5
94,97.65
95,78.0
96,54.699999999999996
97,80.0
98,63.00000000000001
99,37.1
100,62.8
101,102.5
102,105.5
103,74.8
104,46.699999999999996
105,59.95
106,99.6
107,74.39999999999999
108,53.75
109,50.89999999999999
110,65.1
111,92.30000000000001
112,45.25
113,80.05
114,81.1
115,72.55
116,100.99999999999999
117,91.5
118,94.69999999999999
119,108.85
120,103.1
121,70.65
122,92.9
123,96.85
124,67.6
125,63.9
126,72.44999999999999
127,64.79999999999998
128,50.95
129,72.0
130,56.699999999999996
131,75.8
132,70.19999999999999
133,93.19999999999999
134,71.6
135,68.0
136,86.75
137,104.89999999999999
138,91.5
139,86.1
140,98.1
141,81.99999999999999
142,50.8
143,59.099999999999994
144,72.04999999999998
145,68.35
146,98.35
147,103.3
148,67.60000000000001
149,80.8
150,90.1
151,115.6
152,90.2
153,100.69999999999999
154,56.449999999999996
155,102.79999999999998
156,106.5
157,84.89999999999999
158,85.5
159,111.5
160,52.699999999999996
161,63.599999999999994
162,103.09999999999998
163,50.4
164,127.69999999999999
165,81.99999999999999
166,57.2
167,96.45
168,78.0
169,98.69999999999999
170,92.19999999999999
171,90.2
172,107.69999999999999
173,82.45
174,59.599999999999994
175,119.05
176,80.0
177,62.89999999999999
178,84.3
179,96.8
180,108.44999999999999
181,59.94999999999999
182,91.85
183,52.699999999999996
184,57.599999999999994
185,95.5
186,38.3
187,98.1
188,117.25
189,114.85000000000001
190,68.39999999999999
191,78.0
192,79.0
193,96.29999999999998
194,81.10000000000001
195,81.69999999999999
196,88.6
197,88.6
198,78.39999999999999
199,105.1
200,35.5
201,50.400000000000006
202,84.6
203,85.0
204,56.699999999999996
205,61.45
206,56.9
207,64.69999999999999
208,106.8
209,102.64999999999999
210,100.75
211,69.9
212,81.3
213,83.2
214,101.0
215,67.64999999999999
216,84.44999999999999
217,113.5
218,108.6
219,52.89999999999999
220,74.0
221,56.9
222,80.3
223,42.3
224,72.39999999999999
225,114.85
226,83.69999999999999
227,75.3
228,104.69999999999999
229,65.8
230,103.5
231,68.75
232,87.50000000000001
233,70.4
234,80.69999999999999
235,53.599999999999994
236,74.05
237,86.2
238,62.89999999999999
239,85.1
240,46.3
241,42.3
242,80.6
243,82.6
244,81.89999999999999
245,91.5
246,138.60000000000002
247,97.5
248,68.0
249,74.3
250,65.94999999999999
251,72.39999999999999
252,66.14999999999999
253,105.1
254,106.54999999999998
255,72.55
256,62.89999999999999
257,113.4
258,94.1
259,96.85000000000001
260,50.3
261,46.300000000000004
262,49.5
263,95.65
264,76.0
265,59.5
266,81.4
267,65.8
268,84.3
269,79.85
270,56.699999999999996
271,95.39999999999999
272,51.699999999999996
273,90.3
274,71.65
275,79.85000000000001
276,84.84999999999998
277,68.89999999999999
278,58.699999999999996
279,67.6
280,104.69999999999999
281,99.94999999999999
282,59.95
283,62.89999999999999
284,86.75
285,77.3
286,43.5
287,84.6
288,115.69999999999999
289,59.599999999999994
290,77.1
291,84.35
292,91.29999999999998
293,104.45
294,85.69999999999999
295,97.19999999999999
296,86.75
297,63.3
298,104.0
299,78.6
300,101.69999999999999
301,88.79999999999998
302,47.7
303,50.699999999999996
304,98.05000000000001
305,78.0
306,97.70000000000002
307,98.35
308,94.5
309,46.3
310,138.6
311,116.75
312,92.1
313,54.7
314,72.55
315,50.89999999999999
316,48.89999999999999
317,61.0
318,103.9
319,126.89999999999998
320,125.19999999999999
321,67.05
322,114.85
323,77.55000000000001
324,84.6
325,126.89999999999999
326,87.8
327,104.45
328,56.89999999999999
329,88.9
330,95.05
331,93.5
